a,b,c
0,500,1000
1,501,1001
2,502,1002
3,503,1003
4,504,1004
5,505,1005
6,506,1006
7,507,1007
8,508,1008
9,509,1009
10,510,1010
11,511,1011
12,512,1012
13,513,1013
14,514,1014
15,515,1015
16,516,1016
17,517,1017
18,518,1018
19,519,1019
20,520,1020
21,521,1021
22,522,1022
23,523,1023
24,524,1024
25,525,1025
26,526,1026
27,527,1027
28,528,1028
29,529,1029
30,530,1030
31,531,1031
32,532,1032
33,533,1033
34,534,1034
35,535,1035
36,536,1036
37,537,1037
38,538,1038
39,539,1039
40,540,1040
41,541,1041
42,542,1042
43,543,1043
44,544,1044
45,545,1045
46,546,1046
47,547,1047
48,548,1048
49,549,1049
50,550,1050
51,551,1051
52,552,1052
53,553,1053
54,554,1054
55,555,1055
56,556,1056
57,557,1057
58,558,1058
59,559,1059
60,560,1060
61,561,1061
62,562,1062
63,563,1063
64,564,1064
65,565,1065
66,566,1066
67,567,1067
68,568,1068
69,569,1069
70,570,1070
71,571,1071
72,572,1072
73,573,1073
74,574,1074
75,575,1075
76,576,1076
77,577,1077
78,578,1078
79,579,1079
80,580,1080
81,581,1081
82,582,1082
83,583,1083
84,584,1084
85,585,1085
86,586,1086
87,587,1087
88,588,1088
89,589,1089
90,590,1090
91,591,1091
92,592,1092
93,593,1093
94,594,1094
95,595,1095
96,596,1096
97,597,1097
98,598,1098
99,599,1099
100,600,1100
101,601,1101
102,602,1102
103,603,1103
104,604,1104
105,605,1105
106,606,1106
107,607,1107
108,608,1108
109,609,1109
110,610,1110
111,611,1111
112,612,1112
113,613,1113
114,614,1114
115,615,1115
116,616,1116
117,617,1117
118,618,1118
119,619,1119
120,620,1120
121,621,1121
122,622,1122
123,623,1123
124,624,1124
125,625,1125
126,626,1126
127,627,1127
128,628,1128
129,629,1129
130,630,1130
131,631,1131
132,632,1132
133,633,1133
134,634,1134
135,635,1135
136,636,1136
137,637,1137
138,638,1138
139,639,1139
140,640,1140
141,641,1141
142,642,1142
143,643,1143
144,644,1144
145,645,1145
146,646,1146
147,647,1147
148,648,1148
149,649,1149
150,650,1150
151,651,1151
152,652,1152
153,653,1153
154,654,1154
155,655,1155
156,656,1156
157,657,1157
158,658,1158
159,659,1159
160,660,1160
161,661,1161
162,662,1162
163,663,1163
164,664,1164
165,665,1165
166,666,1166
167,667,1167
168,668,1168
169,669,1169
170,670,1170
171,671,1171
172,672,1172
173,673,1173
174,674,1174
175,675,1175
176,676,1176
177,677,1177
178,678,1178
179,679,1179
180,680,1180
181,681,1181
182,682,1182
183,683,1183
184,684,1184
185,685,1185
186,686,1186
187,687,1187
188,688,1188
189,689,1189
190,690,1190
191,691,1191
192,692,1192
193,693,1193
194,694,1194
195,695,1195
196,696,1196
197,697,1197
198,698,1198
199,699,1199
200,700,1200
201,701,1201
202,702,1202
203,703,1203
204,704,1204
205,705,1205
206,706,1206
207,707,1207
208,708,1208
209,709,1209
210,710,1210
211,711,1211
